po_date,sku,generic_name,qty,unit_price,supplier_id,dea_schedule
2025-08-04,SKU-METF-500-100,Metformin HCl,500,4.62,sup_cardinal,
2025-08-04,SKU-LISI-10-90,Lisinopril,180,3.10,sup_amerisource,
2025-08-11,SKU-INS-LANT-10,Insulin glargine,12,98.50,sup_cardinal,
2025-08-18,SKU-AMOX-500-30,Amoxicillin,60,8.40,sup_mckesson,
2025-08-25,SKU-OXYC-5-100,Oxycodone HCl,1,22.10,sup_amerisource,II
2025-09-02,SKU-METF-500-100,Metformin HCl,600,4.62,sup_cardinal,
2025-09-02,SKU-LISI-10-90,Lisinopril,240,3.25,sup_cardinal,
2025-09-09,SKU-INS-LANT-10,Insulin glargine,18,98.50,sup_cardinal,
2025-09-16,SKU-METF-500-100,Metformin HCl,200,4.78,sup_mckesson,
2025-09-30,SKU-AMOX-500-30,Amoxicillin,90,8.40,sup_mckesson,
2025-10-06,SKU-METF-500-100,Metformin HCl,800,4.62,sup_cardinal,
2025-10-06,SKU-LISI-10-90,Lisinopril,200,3.10,sup_amerisource,
2025-10-13,SKU-INS-LANT-10,Insulin glargine,15,101.20,sup_mckesson,
2025-10-20,SKU-OXYC-5-100,Oxycodone HCl,2,22.10,sup_amerisource,II
2025-10-27,SKU-AMOX-500-30,Amoxicillin,60,8.40,sup_mckesson,
2025-11-03,SKU-METF-500-100,Metformin HCl,700,5.50,sup_cardinal,
2025-11-03,SKU-LISI-10-90,Lisinopril,180,3.10,sup_amerisource,
2025-11-10,SKU-INS-LANT-10,Insulin glargine,20,98.50,sup_cardinal,
2025-11-17,SKU-AMOX-500-30,Amoxicillin,120,8.40,sup_mckesson,
2025-11-24,SKU-METF-500-100,Metformin HCl,300,4.78,sup_mckesson,
2025-12-01,SKU-METF-500-100,Metformin HCl,800,5.50,sup_cardinal,
2025-12-01,SKU-LISI-10-90,Lisinopril,240,3.25,sup_cardinal,
2025-12-08,SKU-INS-LANT-10,Insulin glargine,25,98.50,sup_cardinal,
2025-12-15,SKU-OXYC-5-100,Oxycodone HCl,1,22.10,sup_amerisource,II
2025-12-22,SKU-AMOX-500-30,Amoxicillin,90,8.40,sup_mckesson,
2026-01-05,SKU-METF-500-100,Metformin HCl,600,5.50,sup_cardinal,
2026-01-05,SKU-LISI-10-90,Lisinopril,200,3.10,sup_amerisource,
2026-01-12,SKU-INS-LANT-10,Insulin glargine,18,101.20,sup_mckesson,
2026-01-19,SKU-AMOX-500-30,Amoxicillin,60,8.40,sup_mckesson,
2026-01-26,SKU-METF-500-100,Metformin HCl,400,4.78,sup_mckesson,
